title_html,article_html
两句话教会您健康饮食搭配,"<div class=""list_right_two_article"">

    <div id=""vsb_content_2""><p><b>4</b><b>月19日晚七点我有幸在东一楼八层大教室听到了王茂义教授讲授的《护师与合理用药》，获益菲浅。其中印象最深刻的是健康饮食搭配技巧——“一二三四五，黄红绿白黑”。现在给大家分享一下:</b></p> 
<p><b>第一句话是“一二三四五”。“一”指每天喝一袋牛奶（酸奶），内含250毫克钙；“二”指每天摄入碳水化合物250～350克，相当于主食6～8两；“三”指每天进食3份高蛋白食物，每份指：瘦肉50克；或鸡蛋1个；或豆腐100克；或鸡鸭100克；或鱼虾100克；“四”指四句话：有粗有细、不甜不咸、三四五顿、七八分饱；“五”指每天500克蔬菜及水果。</b></p> 
<p><b>第二句话是“红黄绿白黑”。“红”指每天可饮红葡萄酒50～100毫升；“黄”指黄色蔬菜，如胡萝卜、红薯、南瓜、西红柿等；“绿”指绿茶及深绿色的蔬菜；“白”指燕麦粉或燕麦片；“黑”指黑木耳，每天食黑木耳5～15克。</b></p> 
<p><a name=""_GoBack""></a><b>希望大家都能从现在学起，让自己及身边的人快速有效掌握健康饮食搭配的技巧。</b></p> 
<p></p></div><div id=""div_vote_id""></div>

</div>"
饮食当谨慎  切忌囫囵吞枣,"<div class=""list_right_two_article"">

    <div id=""vsb_content_3""><p>　　一年一度的端午佳节即将到来，大家在享用粽子等传统美食时，尖尖的枣核如果不小心被吞噬，就可能发生食道异物的危险，带来不小的麻烦。去年，仅在端午节当天交大一附院耳鼻喉科就接诊并成功取出食道枣核异物9例之多。今年节前一周，门诊食道异物就诊率便明显升高，食道异物住院患者是平时2-3倍之多！<br>　　枣核是临床常见的食道异物之一，有些枣核体积小可以自行排出，但目前市面上出现的枣很多都是两头尖锐，还很锋利，一旦勿吞，很容易卡在胃和食管的狭窄处，如果枣核不慎卡在靠近胸主动脉和气管分叉处的食管位置，就可能带来更大的危险，威胁人的生命。并且，异物在人体内停留时间过长，可能会引起感染，严重者会导致纵膈脓肿，脓胸，大出血等。<br>　　误食枣核后，要立刻停止进食，不要尝试像吞馒头等方法，这样会把枣核推的更深，增加取出困难，要及时就医，就诊后需急诊做胸片、食道镜等相关检查。当异物位于食道较浅处时，可以通过胃镜协助将异物取出；当异物位置较深或发生食道嵌顿时，应立即急诊手术，实施食道异物取出术。就两种紧急处理方法而言，前者一般于门诊就医即可，无须住院治疗，花费小，迅速方便，痛苦小；后者则需立即住院治疗，于急诊全麻或局麻下行食道异物取出术，患者手术前需禁饮食8小时以上，费用高，术后仍需暂禁饮食，观察病情。对于发生食道穿孔的患者，还需要给予鼻饲饮食。<br>　　值此传统节日来临之际，我科室全体医务人员温馨提醒广大朋友，在进食时，应当细嚼慢咽，切勿大笑或嬉笑打闹，防止食道异物的发生.特别是儿童和老年朋友，应当得到悉心照顾，如去除枣核、骨头等，以方便进食；佩戴义齿者，应当谨慎食用高粘稠度的食物，防止牙套义齿脱落。而一旦不慎发生枣核等卡在食道的情况时，应当立即前往医院就诊，切勿延误时机，造成更大伤害。</p></div><div id=""div_vote_id""></div>

</div>"
乳腺纤维腺瘤到底要不要手术？吃药能治愈吗？,"<div class=""list_right_two_article"">

    <div id=""vsb_content_2""><div> 
 <p align=""left"">乳腺纤维腺瘤是乳腺常见的良性疾病，发病高峰年龄为15-35岁；大约1/4的人没有任何症状,3/4的人有疼痛等不适症状；有4/5的人是单侧单个的纤维瘤，大约1/5的人是单侧或双侧多发病灶，多发纤维腺瘤患者多有家族史。纤维腺瘤自然病程较长，少数人可自然消退或快速增大，多数病变缓慢长大或无变化。纤维腺瘤恶变率非常低，一般不需要基于肿瘤学考虑的治疗，也就是说不要因为考虑到将要恶变而进行各种各样的治疗措施。</p> 
 <p>乳腺纤维瘤的诊断问题：一般多由患者在洗澡等情况下自行偶然发现乳腺有肿块，或者在单位组织的查体时由B超或钼靶检查发现。但要确诊是纤维腺瘤，一般还要作以下工作：到医院请乳腺专科医生检查。一般情况下，医生根据患者的年龄，肿块的质地，边缘，活动度等，应该就有个初步的诊断，据研究显示单纯依靠医生临床查体诊断纤维腺瘤的准确率仅为66%，也就是说，医生还要借助一些仪器检查进一步确定。最常用的仪器是B超和钼靶检查，对于年龄小于35岁的患者，用B超检查，如果怀疑有恶性可能时，才加用钼靶；年龄在40以上的人首先考虑钼靶检查。需要说明的是，B超和钼靶都是影像学检查，它的准确性都不能达到百分之百，确诊一定是依靠病理学诊断。但一般情况下，不是每一个人都要作病理学诊断，医生会根据年龄，肿块的特点等作出临床诊断。对于影像学判断BI-RADS 3类及以上的可疑纤维腺瘤，均应取得病理学诊断，尤其是拟随访观察的纤维腺瘤。</p> 
 <p>乳腺纤维腺瘤的治疗是大家最为关心的问题，首先，目前研究显示没有任何药物可以治愈纤维腺瘤，所以大家就不要依靠什么药物去治疗了。其次，关于到底是随访观察还是手术治疗，这是大家认识最不一致的，也是困惑很多患者和医生的问题。中国预防医学会妇幼分会乳腺学组是我们国内乳腺疾病预防和治疗的专业权威学术组织，该组织经过查阅大量的文献资料，关于纤维瘤的处理，给予大家如下建议：</p> 
 <p>1 随访观察</p> 
 <p>通过空心针穿刺活检病理确诊后进行随访观察医疗成本最低，适用于大多数生长缓慢或无变化的纤维腺瘤患者，尤其适合年轻患者。对于&lt;25岁的纤维腺瘤患者，随访观察法乳腺癌的漏诊率仅为1/700。推荐的观察频率为每6个月一次，推荐的检查手段为体检联合乳房超声。对于35岁以上的患者，推荐加入钼钯做为随访检查手段。在随访过程中发现肿瘤生长迅速时，建议结束随访观察，接受外科治疗。生长迅速的标准：（1）6个月内腺瘤最大直径增长超过20%或（2）＜50岁的患者每月超过16%，≥50岁患者每月增长超过13%。</p> 
 <p>2 外科干预（手术治疗）</p> 
 <p>除肿瘤生长迅速外，BI-RADS分类类别提高也是进行外科干预的指征之一。另外，纤维腺瘤还可能导致乳房外形改变、乳房不适感和患者精神压力增大等。是否进行外科干预和实施方法应在充分知情同意的前提下尽可能尊重患者的意愿。外科干预的方法主要有传统的切开法肿瘤切除以及较新的真空辅助空心针微创旋切术和冷冻消融术。</p>
</div></div><div id=""div_vote_id""></div>

</div>"
营养科温馨提示——春季养生要点,"<div class=""list_right_two_article"">

    <div id=""vsb_content_2""><p>春三月，从立春对立夏前，包括立春、雨水、惊蛰、春分、清明、谷雨六个节气。春为四时之首，万象更新之始，《素问·四气调神大论》指出“春三月，此谓发陈。天地俱生，万物以荣”，春归大地，阳气升发，冰雪消融，蛰虫苏醒。自然界生机勃发，一派欣欣向荣的景象。所以，春季养生在精神、饮食、起居诸方面，都必须顺应春天阳气升发，万物始生的特点，注意保护阳气，着眼于一个“生”字。<br>　　一、精神养生<br>　　春属木，与肝相应。肝主疏泄，在志为怒，恶抑郁而喜调达。故春季养生，既要力戒暴怒，更忌情怀忧郁，要做到心胸开阔，乐观愉快，历代养生家则一致认为，在春光明媚，风和日丽，鸟语花香的春天，应该踏青问柳，登山赏花，临溪戏水，行歌舞风，陶冶性情，使自己的精神情志与春季的大自然相适应，充满勃勃生气，以利春阳生发之机。<br>　　二、起居调养<br>　　春回大地，人体的阳气开始趋向于表，皮肤腠理逐渐舒展，肌表气血供应增多而肢体反觉困倦，故有“春眠不觉晓，处处闻啼鸟”之说，往往日高三丈，睡意未消。然而，睡懒觉不利于阳气生发。因此，在起居方面要求夜卧早起，免冠披发，松缓衣带，舒展形体，在庭院或场地信步慢行，克服情志上倦懒思眠的状态，以助生阳之气升发。<br>春季气候变化较大，对寒邪的抵抗能力有所减弱。所以，春天不宜立即减去棉衣。特别是年老体弱者，减脱冬装尤宜审慎，不可骤减。春时衣着宜“下厚上薄”，既养阳又收阴。<br>　　三、饮食调养<br>　　春季阳气初生，宜食辛甘发散之品，而不宜食酸收之味。酸味入肝，且具收敛之性，不利于阳气的生发和肝气的疏泄，且足以影响脾胃的适化功能，故《摄生消息论》说：“当春之时，食味宜减酸增甘，以养脾气”。春时木旺，与肝相应，肝木不及固当用补，然肝木太过则克脾土，故《金匮要略》有“春不食肝”之说。由此可见，饮食调养之法，实际应用时，还应观其人虚实；灵活掌握，切忌生搬硬套。<br>一般说来，为适应春季阳气升发的特点，为扶助阳气，此时，在饮食上应遵循上述原则，适当食用辛温升散的食品，如：麦、枣、豉、花生等，而生冷粘杂之物，则应少食，以免伤害脾胃。<br>　　四、运动调养<br>　　在寒冷的冬季里，人体的新陈代谢，藏精多于化气，各脏腑器官的阳气都有不同程度的下降，因而入春后，应加强锻炼。到空气清新之处，如公园、广场、树林、河边、山坡等地，玩球、跑步、打拳、做操，形式不拘，取己所好，尽量多活动，使春气升发有序，阳气增长有路，符合“春夏养阳”的要求。年老行动不便之人，乘风日融和，春光明媚之时，可在园林亭阁虚敞之处，凭栏远眺，以畅生气。但不可默坐，免生郁气，碍于舒发。<br>　　五、防病保健<br>　　春季是呼吸系统疾病的高发季节，预防疾病首先要多开窗户，使室内空气流通。二是加强保健锻炼，提高机体的防御能力。另外，可按5ml/m2食醋，加水一倍，关闭窗户，加热熏蒸，每周二次，对预防流感均有良效。每天选足三里、风池、迎香等穴作保健按摩两次，能增强机体免疫功能。<br></p></div><div id=""div_vote_id""></div>

</div>"
营养科温馨提示——节后营养调理要点,"<div class=""list_right_two_article"">

    <div id=""vsb_content_2""><p>中秋国庆八天长假转瞬而过，节后综合征随即而来，为了使自己尽快寻回健康、全身心地投入工作，我们有必要来一次饮食结构大调整。<br>首先，要调整饮食生物钟：恢复平时的饮食习惯，一天三餐或者四餐。<br>　　其次，注意给肠胃“减负”：肠胃在经历超负荷运转之后需要一个休息的过程，这就要求均衡饮食，多吃一些清淡的食物，如玉米面粥、小米粥等；要减少过多脂肪的摄入；在饭前喝一小碗营养丰富、低热量的汤，如蔬菜汤；要多吃蔬菜，蔬菜可以加工得细致一些，做软、细、烂；另外，要多吃新鲜的水果，帮助身体排出蓄积的毒素。应少吃辛辣刺激性食物。<br>　　再次，要戒烟限酒：双节合家团聚，难免举杯相贺，开怀畅饮，并且易受到烟害，给身体带来较大的损害，因此节后更要强调戒烟限酒。<br>　　最后，很多人一收假就投入到紧张的工作中，这会增加焦虑感，加剧节后综合征，因此，上班前三天，不宜安排高强度的工作，给自己一个缓冲调整的时期，同时可以在紧张的时候多做做深呼吸，这对放松身心是有帮助的。</p></div><div id=""div_vote_id""></div>

</div>"
营养科温馨提示——冬季养生注意事项,"<div class=""list_right_two_article"">

    <div id=""vsb_content_2""><p>冬三月，从立冬至立春前，包括立冬、小雪、大雪、冬至、小寒、大寒六个节气，是一年中气候最寒冷的季节。严寒凝野，朔风凛冽，阳气潜藏，阴气盛极，草木凋零，蛰虫伏藏，用冬眠状态养精蓄锐，为来春生机勃发作好准备，人体的阴阳消长代谢也处于相对缓慢的水平，成形胜于化气。因此，冬季养生之道，应着眼于一个“藏”字，具体需注意以下几点：<br>　　一、精神调养<br>　　为了保证冬令阳气伏藏的正常生理不受干扰，首先要求精神安静。为此，《素问·四气调神大论》有“冬三月，此为闭藏……使志若伏若匿。若有私意，若已有得”之说。意思是欲求精神安静，必须控制情志活动。做到如同对待他人隐私那样秘而不宣，如同获得了珍宝那样感到满足。如是，则“无扰乎阳”，养精蓄锐，有利于来春的阳气萌生。<br>　　二、起居调养<br>　　冬季起居作息，中医养生学的主张，如：《素问·四气调神大论》所说：“冬三月，此为闭藏。水冰地坼，无扰乎阳；早卧晚起，必待日光。……去寒就温，无泄皮肤，使气亟夺，此冬气之应，养藏之道也”。《千金要方·道林养性》也说：“冬时天地气闭，血气伏藏，人不可作劳汗出，发泄阳气，有损于人也”。在寒冷的冬季里，要早睡晚起，日出而作，以保证充足的睡眠时间，以利阳气潜藏，阴精积蓄。<br>　　三、防寒保暖<br>　　根据“无扰乎阳”的养藏原则，做到恰如其分。衣着过少过薄，室温过低，则既耗阳气，又易感冒。反之，衣着过多过厚，室温过高，则腠理开泄，阳气不得潜藏，寒邪亦易于入侵。《素问·金匮真言论》说：“夫精者身之本也，故藏于精者，春不病温”。说明冬季节制房事，养藏保精，对于预防春季温病，具有重要意义。<br>　　四、饮食调养<br>　　冬季饮食对正常人来说，应当遵循“秋冬养阴”，“无扰乎阳”的原则，既不宜生冷，也不宜燥热，最宜食用滋阴潜阳，热量较高的膳食为宜。为避免维生素缺乏，应摄取新鲜蔬菜。从五味与五脏关系有之，则如《素问·藏气法时论》说；“肾主冬……肾欲坚，急食苦以坚之，用苦补之，咸泻之”。这是因为冬季阳气衰微，腠理闭塞，很少出汗。减少食盐摄入量，可以减轻肾脏的负担，增加苦味可以坚肾养心。<br>具体地说，在冬季为了保阴潜阳，宜食热饮食，以保护阳气。由于冬季重于养“藏”，放在此时进补是最好的时机。<br>　　五、运动调养<br>　　“冬天动一动，少闹一场病；冬天懒一懒，多喝药一碗”。这句民谚，是以说明冬季锻炼的重要性。<br>　　冬日虽寒，仍要持之以恒进行自身锻炼，但要避免在大风、大寒、大雪、雾露中锻炼。还须指出，在冬天早晨，由于冷高压的影响，往往会发生逆温现象，即上层气温高，而地表气温低，大气停止上下对流活动，工厂、家庭炉灶等排出的废气，不能向大气层扩散，使得户外空气相当污浊，能见度大大降低。有逆温现象的早晨，在室外进行锻炼不如室内为佳。<br>　　六、防病保健<br>　　冬季是进补强身的最佳时机。进补的方法有两类：一是食补，一是药补，两者相较，“药补不如食补”。不论食补还是药补，均需根据体质、年龄、性别等具体情况分别对待，有针对性，方能取效。<br>冬季是麻疹、白喉、流感、腮腺炎等疾病的好发季节，冬寒也常诱发痼疾，如支气管哮喘、慢性支气管炎、心脑血管病等，也多因感受寒凉而诱发加重。因此防寒护阳，是至关重要的。同时，也要注意颜面、四肢的保健，防止冻伤。</p></div><div id=""div_vote_id""></div>

</div>"
营养科温馨提示——月饼的健康吃法,"<div class=""list_right_two_article"">

    <div id=""vsb_content_2""><p>月饼是我国的传统美食，中秋佳节，欢聚一堂，赏月吃饼，好不乐哉？但佳肴虽美，食用不当，却会给健康带来损害，那么，在食用月饼时我们注意些什么呢？<br>　　月饼是一种高脂肪，高糖，高能量的食品，黏腻而且不易消化，所以以下几类人群尽量不要多食：老年人，儿童，幼儿，减肥人群，糖尿病患者，胆囊炎，胆石症患者，高血压，高血脂，冠心病患者，胃肠道疾病患者及肾炎患者等。 <br>　　大部分月饼较甜腻，如果早上醒来空腹吃月饼，会刺激胃酸分泌引起泛酸，有胃病史者或致胃痉挛。所以，即使健康人群也应饭后一段时间，半空腹状态下将月饼分切进食，不至给肠胃增添负担，建议大家饭后食用时为一个月饼的1∕4量，仅仅作为品尝食用而已。<br>　　中秋赏月除了月饼之外，富含维生素C和膳食纤维的柚子、沙田柚、水晶梨、苹果、石榴、鲜枣等水果是既应季又健康的选择。且在品尝月饼时，可搭配一壶花茶、绿茶、乌龙茶，更添节日气氛，最好再喝点醋酸饮料帮助消化，去去油腻。<br>　　最后祝身体健康，愿大家拥有一个祥和温馨的佳节。</p></div><div id=""div_vote_id""></div>

</div>"
营养科温馨提示——健康过节小贴士,"<div class=""list_right_two_article"">

    <div id=""vsb_content""><p align=""center"">双节长假即将至，友情提示莫忘记<br>平素身心多疲累，储蓄健康正当时<br>累积压力得释放，把握尺度方健康<br>生活规律莫紊乱，早睡早起筋骨强<br>合理膳食要牢记，肥甘厚味损身体<br>饥饱适当尤为要，暴饮暴食招病秧<br>亲友会聚本吉庆，饮酒过度酿悲剧<br>月圆饼香莫贪多，老人小孩尤须记<br>登高望远怡心情，安全谨记莫放松<br>健康过节方为上，莫在节后愁断肠 <br><br></p></div><div id=""div_vote_id""></div>

</div>"
营养科温馨提示——药食两用话荠菜,"<div class=""list_right_two_article"">

    <div id=""vsb_content_2""><p>“三月三，荠菜当灵丹”，三月三吃荠菜，这个风俗古已有之。荠菜是我们比较熟悉的一种野菜，自古以来就有许多名士们在诗歌中称崇荠菜，辛弃疾有云：“城中桃李愁风雨，春在溪头荠菜花。”陆放翁谓：“日日思归饱蕨薇，春来荠美勿忘归。”郑板桥也有“三冬荠菜偏饶味”的名句。<br>　　　荠菜又名护生草、菱角菜、地菜，为十字花科一年生草本野生植物。作为食物，除含丰富的蛋白质和钙、磷、铁、胡萝卜素、维生素C和维生素B族等营养成分外，还含有精氨酸、胱氨酸、天冬氨酸、蛋氨酸、亮氨酸、谷氨酸、甘氨酸、丙氨酸、半胱氨酸等10多种人体所需要的氨基酸，其味道的鲜美就与此有关。其他还含有草酸、酒石酸、苹果酸等有机酸。<br>　　　荠菜又是一味中药，中医上认为荠菜具有和脾、利水、止血、明目、降压的功效，可治痢疾、水肿、淋病、乳糜尿、吐血、便血、血崩、目赤疼痛等病，而最大的作用是祛陈寒的功效特别强，三月三吃荠菜，就是为了祛除冬天积存的寒气，其最可贵之处在于药性十分平和，既能祛陈寒，又能祛血热，使得体内伏寒无法化为内火，维持人体的寒热平衡。荠菜祛寒的特殊功效，对于产妇尤其有用。产妇身体比较弱，起居饮食稍有不慎，体内的陈寒就容易发作，化为内火，在局部产生炎症，甚至使人发起烧来。如果生完孩子后及时清除体内的陈寒，就可以避免这样的事情发生了。做法其实很简单，喝一次荠菜水就可以了。但是需要注意的是只吃一次就好，不要多吃。<br>　　　现代医学研究认为，荠菜还具有防癌功效，是由于荠菜中含有吲哚类化合物和芳香异硫氰酸等癌细胞抑制剂。荠菜中含有的胆酸、乙酰胆碱、芸香甙、香叶木甙、马钱子碱、酪酸、槲皮素-3-甲醚、刺槐乙素、黑芥子甙等，可用于止血降压。荠菜所含的荠菜酸，是有效的止血成分，能缩短出血及凝血时间。民间认为，荠菜用水煎服可治疗痢疾，预防流脑和麻疹。荠菜煎鸡蛋可以清肝、明目，并可补益脾胃。用于肝虚有热、眩晕头痛或目昏眼干等。据记载，荠菜还有驱蚊、避虫的作用。<br>　　　荠菜可以制作成荠菜丸子、荠菜豆腐羹或荠菜粥，将荠菜制作馅，包荠菜饺子、荠菜馄饨或荠菜馅饼都很有特色。一般常吃的做法还有凉拌荠菜，凉拌是将荠菜在滚水中烫熟后加适当调味品配制而成，吃起来清香爽口又开胃。需要注意的是，不要吃老的和开花的荠菜，也不要与别的野菜混杂，也不要常吃和多吃，凡事过则不宜。</p></div><div id=""div_vote_id""></div>

</div>"
营养科温馨提示——纳豆的健康吃法,"<div class=""list_right_two_article"">

    <div id=""vsb_content_2""><p>纳豆是黄豆的发酵制品，是一种非常健康的食品，几乎保留了大豆的所有营养成分，经过发酵，更容易消化吸收，还产生了多种活性成分，大大提高了保健价值，对于预防心脏病、高血压、癌症、更年期疾病都颇有益处。<br>　　发酵的蛋白质类食物，如果时间长些，在味道鲜美的同时，多少会有点臭味，这是蛋白质高度分解的结果——蛋白质分解产生的氨基酸多是鲜美的，但氨基酸再分解下去，就有不良风味了。 同时，纳豆发酵时，微生物还会产生大量粘蛋白，甚至能拉出好长的丝来。<br>　　吃纳豆的最大难处，在于保持它的活性，菌最好是活的，酶最好也是活的。所以，纳豆不能加热，必须是凉菜状态，新鲜食用。为了保持它有益于心血管的鲜明健康特色，肯定也不能在里面加入大量油脂，或者配合大量动物性食品。食用纳豆时，可以配上黄瓜、胡萝卜、盐水小杏仁，加入鲜味生抽、醋、青芥、糖少许，凉拌，除了保持纳豆本身的优势之外，还可提供较多的维生素E、维生素B2、胡萝卜素和膳食纤维。<br></p></div><div id=""div_vote_id""></div>

</div>"
